status,score,method,nces_unitid,nces_name,school_id,school_name
unmatched,0.000,none,110538,California State University-Chico,,
unmatched,0.000,none,110547,California State University-Dominguez Hills,,
unmatched,0.000,none,110556,California State University-Fresno,,
unmatched,0.000,none,110565,California State University-Fullerton,,
unmatched,0.000,none,110574,California State University-East Bay,,
unmatched,0.000,none,110583,California State University-Long Beach,,
unmatched,0.000,none,110592,California State University-Los Angeles,,
unmatched,0.000,none,110608,California State University-Northridge,,
unmatched,0.000,none,110617,California State University-Sacramento,,
unmatched,0.000,none,110635,University of California-Berkeley,,
unmatched,0.000,none,110644,University of California-Davis,,
unmatched,0.000,none,110653,University of California-Irvine,,
unmatched,0.000,none,110662,University of California-Los Angeles,,
unmatched,0.000,none,110671,University of California-Riverside,,
unmatched,0.000,none,110680,University of California-San Diego,,
unmatched,0.000,none,110699,University of California-San Francisco,,
unmatched,0.000,none,110705,University of California-Santa Barbara,,
unmatched,0.000,none,110714,University of California-Santa Cruz,,
unmatched,0.000,none,110778,Sofia University,,
unmatched,0.000,none,110875,California Beauty School,,
unmatched,0.000,none,110918,California Christian College,,
unmatched,0.000,none,111045,Haven University,,
unmatched,0.000,none,111054,California Hair Design Academy,,
unmatched,0.000,none,111081,California Institute of the Arts,,
unmatched,0.000,none,111188,California State University Maritime Academy,,
unmatched,0.000,none,111391,California Western School of Law,,
unmatched,0.000,none,111434,Canada College,,
unmatched,0.000,none,111461,College of the Canyons,,
unmatched,0.000,none,111513,Career Academy of Beauty,,
unmatched,0.000,none,111638,Casa Loma College-Los Angeles,,
unmatched,0.000,none,111708,CET-San Diego,,
unmatched,0.000,none,111717,CET-San Jose,,
unmatched,0.000,none,111726,CET-El Centro,,
unmatched,0.000,none,111744,CET-Colton,,
unmatched,0.000,none,111762,CET-Watsonville,,
unmatched,0.000,none,111799,CET-Salinas,,
unmatched,0.000,none,111887,Cerritos College,,
unmatched,0.000,none,111896,Cerro Coso Community College,,
unmatched,0.000,none,111920,Chabot College,,
unmatched,0.000,none,111939,Chaffey College,,
unmatched,0.000,none,111948,Chapman University,,
unmatched,0.000,none,111966,Charles R Drew University of Medicine and Science,,
unmatched,0.000,none,112075,Concordia University-Irvine,,
unmatched,0.000,none,112084,San Diego Christian College,,
unmatched,0.000,none,112127,Church Divinity School of the Pacific,,
unmatched,0.000,none,112172,Citrus College,,
unmatched,0.000,none,112181,Citrus Heights Beauty College,,
unmatched,0.000,none,112190,City College of San Francisco,,
unmatched,0.000,none,112251,Claremont Graduate University,,
unmatched,0.000,none,112260,Claremont McKenna College,,
unmatched,0.000,none,112288,Milan Institute-Visalia,,
unmatched,0.000,none,112367,Clovis Adult Education,,
unmatched,0.000,none,112376,Coast Community College District Office,,
unmatched,0.000,none,112385,Coastline Community College,,
unmatched,0.000,none,112394,University of Silicon Valley,,
unmatched,0.000,none,112455,Coba Academy,,
unmatched,0.000,none,112525,Western University of Health Sciences,,
unmatched,0.000,none,112561,Columbia College,,
unmatched,0.000,none,112570,Columbia College Hollywood,,
unmatched,0.000,none,11257001,Flashpoint Chicago A Campus of Columbia College Hollywood,,
unmatched,0.000,none,112686,Compton College,,
unmatched,0.000,none,112817,Contra Costa Community College District Office,,
unmatched,0.000,none,112826,Contra Costa College,,
