status,nces_unitid,school_id,school_name,details
updated,171137,125,University of Michigan-Ann Arbor,"enrollment,acceptance_rate,graduation_rate"
updated,178396,126,University of Missouri-Columbia,"enrollment,acceptance_rate,graduation_rate"
updated,204468,127,University of Notre Dame,"enrollment,acceptance_rate,graduation_rate"
updated,240444,128,University of Wisconsin-Madison,"enrollment,acceptance_rate,graduation_rate"
updated,240462,129,University of Wisconsin-Platteville,"enrollment,acceptance_rate,graduation_rate"
updated,240480,130,University of Wisconsin-Stevens Point,"enrollment,acceptance_rate,graduation_rate"
updated,240189,131,University of Wisconsin-Whitewater,"enrollment,acceptance_rate,graduation_rate"
updated,179867,132,Washington University in St Louis,"enrollment,acceptance_rate,graduation_rate"
updated,149772,133,Western Illinois University,"enrollment,acceptance_rate,graduation_rate"
updated,172699,134,Western Michigan University,"enrollment,acceptance_rate,graduation_rate"
skipped,12601201,135,Wright State University,
updated,189088,136,Bard College,"enrollment,acceptance_rate,graduation_rate"
updated,160977,137,Bates College,"enrollment,acceptance_rate,graduation_rate"
updated,161004,140,Bowdoin College,"enrollment,acceptance_rate,graduation_rate"
updated,165015,141,Brandeis University,"enrollment,acceptance_rate,graduation_rate"
updated,217156,142,Brown University,"enrollment,acceptance_rate,graduation_rate"
updated,211291,143,Bucknell University,"enrollment,acceptance_rate,graduation_rate"
updated,211440,144,Carnegie Mellon University,"enrollment,acceptance_rate,graduation_rate"
unmatched,230834,145,Castleton University,
updated,190044,146,Clarkson University,"enrollment,acceptance_rate,graduation_rate"
updated,161086,147,Colby College,"enrollment,acceptance_rate,graduation_rate"
updated,190415,149,Cornell University,"enrollment,acceptance_rate,graduation_rate"
updated,182670,150,Dartmouth College,"enrollment,acceptance_rate,graduation_rate"
updated,212054,151,Drexel University,"enrollment,acceptance_rate,graduation_rate"
updated,191515,152,Hamilton College,"enrollment,acceptance_rate,graduation_rate"
updated,166027,153,Harvard University,"enrollment,acceptance_rate,graduation_rate"
updated,213020,154,IIndiana University of Pennsylvania,"enrollment,acceptance_rate,graduation_rate"
updated,213251,155,Juniata College,"enrollment,acceptance_rate,graduation_rate"
updated,213385,156,Lafayette College,"enrollment,acceptance_rate,graduation_rate"
updated,213543,157,Lehigh University,"enrollment,acceptance_rate,graduation_rate"
unmatched,230940,158,Marlboro College (Closed in 2020),
updated,213826,159,Marywood University,"enrollment,acceptance_rate,graduation_rate"
updated,167288,160,Massachusetts College of Liberal Arts,"enrollment,acceptance_rate,graduation_rate"
updated,166683,161,Massachusetts Institute of Technology,"enrollment,acceptance_rate,graduation_rate"
updated,230959,162,Middlebury College,"enrollment,acceptance_rate,graduation_rate"
updated,193900,163,New York University,"enrollment,acceptance_rate,graduation_rate"
updated,207263,164,Northeastern University,"enrollment,acceptance_rate,graduation_rate"
updated,214591,165,Penn State Behrend,"enrollment,acceptance_rate,graduation_rate"
updated,214670,166,Penn State-Lehigh Valley,"enrollment,acceptance_rate,graduation_rate"
updated,214777,167,Penn State Main Campus,"enrollment,acceptance_rate,graduation_rate"
updated,183080,168,Plymouth State University,"enrollment,acceptance_rate,graduation_rate"
updated,186131,169,Princeton University,"enrollment,acceptance_rate,graduation_rate"
updated,194824,170,Rensselaer Polytechnic Institute,"enrollment,acceptance_rate,graduation_rate"
updated,217493,171,Rhode Island School of Design,"enrollment,acceptance_rate,graduation_rate"
updated,195003,172,Rochester Institute of Technology,"enrollment,acceptance_rate,graduation_rate"
updated,186380,173,Rutgers University-New Brunswick,"enrollment,acceptance_rate,graduation_rate"
updated,195216,174,Saint Lawrence University,"enrollment,acceptance_rate,graduation_rate"
updated,231059,175,Saint Michaels College,"enrollment,acceptance_rate,graduation_rate"
updated,216010,176,Shippensburg University of Pennsylvania,"enrollment,acceptance_rate,graduation_rate"
updated,167835,177,Smith College,"enrollment,acceptance_rate,graduation_rate"
updated,196291,178,Suny Maritime College,"enrollment,acceptance_rate,graduation_rate"
updated,216287,179,Swarthmore College,"enrollment,acceptance_rate,graduation_rate"
updated,196413,180,Syracuse University,"enrollment,acceptance_rate,graduation_rate"
updated,228608,181,Temple University,enrollment
updated,168148,182,Tufts University,"enrollment,acceptance_rate,graduation_rate"
updated,196866,183,Union College-NY,"enrollment,acceptance_rate,graduation_rate"
updated,130624,184,United States Coast Guard Academy,"enrollment,acceptance_rate,graduation_rate"
updated,129020,185,University of Connecticut,"enrollment,acceptance_rate,graduation_rate"
updated,130943,186,University of Delaware,"enrollment,acceptance_rate,graduation_rate"
updated,161253,187,University of Maine-Orono,"enrollment,acceptance_rate,graduation_rate"
skipped,369002,188,University of Massachusetts Amherst,
updated,183044,189,University of New Hampshire,"enrollment,acceptance_rate,graduation_rate"
updated,215062,190,University of Pennsylvania,"enrollment,acceptance_rate,graduation_rate"
updated,155681,191,University of Pittsburgh,"enrollment,acceptance_rate,graduation_rate"
